Frame id,timestamp,hands,fingers,tools,gestures,handType,handID,handPalmPosition_X,handPalmPosition_Y,handPalmPosition_Z,pitch,roll,yaw,wristPosition_X,wristPosition_Y,wristPosition_Z,elbowPosition_X,elbowPosition_Y,elbowPosition_Z,ToolID,ToolTipPosition,ToolDirection,GestureID,GestureType,GestureCircleClockwiseness,GestureCircleSweptAngle,GestureCircleProgress,GestureCircleRadius,GestureStateNames,SwipePosition,SwipeDirection,SwipeSpeed,KeytapPosition,KeytapDirection,ScreentapPosition,ScreentapDirection,ThumbID,ThumbLength,ThumbWidth,IndexID,IndexLength,IndexWidth,MiddleID,MiddleLength,MiddleWidth,RingID,RingLength,RingWidth,PinkyID,PinkyLength,PinkyWidth,ThumbMetacarpalStart_X,ThumbMetacarpalStart_Y,ThumbMetacarpalStart_Z,ThumbMetacarpalEnd_X,ThumbMetacarpalEnd_Y,ThumbMetacarpalEnd_Z,ThumbMetacarpalDirection_X,ThumbMetacarpalDirection_Y,ThumbMetacarpalDirection_Z,ThumbProximalStart_X,ThumbProximalStart_Y,ThumbProximalStart_Z,ThumbProximalEnd_X,ThumbProximalEnd_Y,ThumbProximalEnd_Z,ThumbProximalDirection_X,ThumbProximalDirection_Y,ThumbProximalDirection_Z,ThumbIntermediateStart_X,ThumbIntermediateStart_Y,ThumbIntermediateStart_Z,ThumbIntermediateEnd_X,ThumbIntermediateEnd_Y,ThumbIntermediateEnd_Z,ThumbIntermediateDirection_X,ThumbIntermediateDirection_Y,ThumbIntermediateDirection_Z,ThumbDistalStart_X,ThumbDistalStart_Y,ThumbDistalStart_Z,ThumbDistalEnd_X,ThumbDistalEnd_Y,ThumbDistalEnd_Z,ThumbDistalDirection_X,ThumbDistalDirection_Y,ThumbDistalDirection_Z,IndexMetacarpalStart_X,IndexMetacarpalStart_Y,IndexMetacarpalStart_Z,IndexMetacarpalEnd_X,IndexMetacarpalEnd_Y,IndexMetacarpalEnd_Z,IndexMetacarpalDirection_X,IndexMetacarpalDirection_Y,IndexMetacarpalDirection_Z,IndexProximalStart_X,IndexProximalStart_Y,IndexProximalStart_Z,IndexProximalEnd_X,IndexProximalEnd_Y,IndexProximalEnd_Z,IndexProximalDirection_X,IndexProximalDirection_Y,IndexProximalDirection_Z,IndexIntermediateStart_X,IndexIntermediateStart_Y,IndexIntermediateStart_Z,IndexIntermediateEnd_X,IndexIntermediateEnd_Y,IndexIntermediateEnd_Z,IndexIntermediateDirection_X,IndexIntermediateDirection_Y,IndexIntermediateDirection_Z,IndexDistalStart_X,IndexDistalStart_Y,IndexDistalStart_Z,IndexDistalEnd_X,IndexDistalEnd_Y,IndexDistalEnd_Z,IndexDistalDirection_X,IndexDistalDirection_Y,IndexDistalDirection_Z,MiddleMetacarpalStart_X,MiddleMetacarpalStart_Y,MiddleMetacarpalStart_Z,MiddleMetacarpalEnd_X,MiddleMetacarpalEnd_Y,MiddleMetacarpalEnd_Z,MiddleMetacarpalDirection_X,MiddleMetacarpalDirection_Y,MiddleMetacarpalDirection_Z,MiddleProximalStart_X,MiddleProximalStart_Y,MiddleProximalStart_Z,MiddleProximalEnd_X,MiddleProximalEnd_Y,MiddleProximalEnd_Z,MiddleProximalDirection_X,MiddleProximalDirection_Y,MiddleProximalDirection_Z,MiddleIntermediateStart_X,MiddleIntermediateStart_Y,MiddleIntermediateStart_Z,MiddleIntermediateEnd_X,MiddleIntermediateEnd_Y,MiddleIntermediateEnd_Z,MiddleIntermediateDirection_X,MiddleIntermediateDirection_Y,MiddleIntermediateDirection_Z,MiddleDistalStart_X,MiddleDistalStart_Y,MiddleDistalStart_Z,MiddleDistalEnd_X,MiddleDistalEnd_Y,MiddleDistalEnd_Z,MiddleDistalDirection_X,MiddleDistalDirection_Y,MiddleDistalDirection_Z,RingMetacarpalStart_X,RingMetacarpalStart_Y,RingMetacarpalStart_Z,RingMetacarpalEnd_X,RingMetacarpalEnd_Y,RingMetacarpalEnd_Z,RingMetacarpalDirection_X,RingMetacarpalDirection_Y,RingMetacarpalDirection_Z,RingProximalStart_X,RingProximalStart_Y,RingProximalStart_Z,RingProximalEnd_X,RingProximalEnd_Y,RingProximalEnd_Z,RingProximalDirection_X,RingProximalDirection_Y,RingProximalDirection_Z,RingIntermediateStart_X,RingIntermediateStart_Y,RingIntermediateStart_Z,RingIntermediateEnd_X,RingIntermediateEnd_Y,RingIntermediateEnd_Z,RingIntermediateDirection_X,RingIntermediateDirection_Y,RingIntermediateDirection_Z,RingDistalStart_X,RingDistalStart_Y,RingDistalStart_Z,RingDistalEnd_X,RingDistalEnd_Y,RingDistalEnd_Z,RingDistalDirection_X,RingDistalDirection_Y,RingDistalDirection_Z,PinkyMetacarpalStart_X,PinkyMetacarpalStart_Y,PinkyMetacarpalStart_Z,PinkyMetacarpalEnd_X,PinkyMetacarpalEnd_Y,PinkyMetacarpalEnd_Z,PinkyMetacarpalDirection_X,PinkyMetacarpalDirection_Y,PinkyMetacarpalDirection_Z,PinkyProximalStart_X,PinkyProximalStart_Y,PinkyProximalStart_Z,PinkyProximalEnd_X,PinkyProximalEnd_Y,PinkyProximalEnd_Z,PinkyProximalDirection_X,PinkyProximalDirection_Y,PinkyProximalDirection_Z,PinkyIntermediateStart_X,PinkyIntermediateStart_Y,PinkyIntermediateStart_Z,PinkyIntermediateEnd_X,PinkyIntermediateEnd_Y,PinkyIntermediateEnd_Z,PinkyIntermediateDirection_X,PinkyIntermediateDirection_Y,PinkyIntermediateDirection_Z,PinkyDistalStart_X,PinkyDistalStart_Y,PinkyDistalStart_Z,PinkyDistalEnd_X,PinkyDistalEnd_Y,PinkyDistalEnd_Z,PinkyDistalDirection_X,PinkyDistalDirection_Y,PinkyDistalDirection_Z
81977,301943816452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81978,301943851270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81979,301943885786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81980,301943920759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81981,301943955515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81982,301943990325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81983,301944024918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81984,301944059656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81985,301944093774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81986,301944128548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
